country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Jamaica,JAM,2001,7.2,
Jamaica,JAM,2002,6.7,
Jamaica,JAM,2003,6.8,
Jamaica,JAM,2004,6.9,
Jamaica,JAM,2005,7.1,
Jamaica,JAM,2006,7.3,
Jamaica,JAM,2007,7.9,
Jamaica,JAM,2008,8.5,
Jamaica,JAM,2009,8.6,
Jamaica,JAM,2010,8.2,
Jamaica,JAM,2011,7.8,
Jamaica,JAM,2012,7.7,
Jamaica,JAM,2013,7.7,
Jamaica,JAM,2014,7.5,
Jamaica,JAM,2015,8.0,25.3
Jamaica,JAM,2016,7.6,24.8
Jamaica,JAM,2017,7.3,24.5
Jamaica,JAM,2018,6.3,23.0
Jamaica,JAM,2019,6.7,23.3
Jamaica,JAM,2020,7.0,23.1
Jamaica,JAM,2021,7.6,25.6
Jamaica,JAM,2022,7.5,26.6
Jamaica,JAM,2023,7.7,27.8
