country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Jordan,JOR,2001,9.0,
Jordan,JOR,2002,7.2,
Jordan,JOR,2003,6.0,
Jordan,JOR,2004,5.4,
Jordan,JOR,2005,5.4,
Jordan,JOR,2006,5.6,
Jordan,JOR,2007,6.1,
Jordan,JOR,2008,6.6,
Jordan,JOR,2009,7.5,
Jordan,JOR,2010,8.4,
Jordan,JOR,2011,9.1,
Jordan,JOR,2012,9.1,
Jordan,JOR,2013,8.2,
Jordan,JOR,2014,7.6,
Jordan,JOR,2015,7.4,
Jordan,JOR,2016,8.0,
Jordan,JOR,2017,9.2,
Jordan,JOR,2018,10.6,
Jordan,JOR,2019,12.8,
Jordan,JOR,2020,15.2,
Jordan,JOR,2021,15.4,
Jordan,JOR,2022,15.1,
Jordan,JOR,2023,14.3,
