country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Kenya,KEN,2001,31.8,
Kenya,KEN,2002,33.3,
Kenya,KEN,2003,34.5,
Kenya,KEN,2004,31.6,
Kenya,KEN,2005,28.0,
Kenya,KEN,2006,25.8,
Kenya,KEN,2007,26.8,
Kenya,KEN,2008,26.7,
Kenya,KEN,2009,24.3,
Kenya,KEN,2010,21.7,
Kenya,KEN,2011,19.9,
Kenya,KEN,2012,19.1,
Kenya,KEN,2013,18.9,
Kenya,KEN,2014,19.0,
Kenya,KEN,2015,20.8,15.0
Kenya,KEN,2016,22.2,17.8
Kenya,KEN,2017,23.6,21.6
Kenya,KEN,2018,22.9,23.4
Kenya,KEN,2019,23.7,24.9
Kenya,KEN,2020,26.3,26.1
Kenya,KEN,2021,31.6,28.0
Kenya,KEN,2022,35.3,28.0
Kenya,KEN,2023,36.8,28.1
