country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Kyrgyzstan,KGZ,2001,12.9,
Kyrgyzstan,KGZ,2002,11.0,
Kyrgyzstan,KGZ,2003,8.9,
Kyrgyzstan,KGZ,2004,7.2,
Kyrgyzstan,KGZ,2005,7.3,
Kyrgyzstan,KGZ,2006,8.0,
Kyrgyzstan,KGZ,2007,8.9,
Kyrgyzstan,KGZ,2008,8.6,
Kyrgyzstan,KGZ,2009,8.4,
Kyrgyzstan,KGZ,2010,7.7,
Kyrgyzstan,KGZ,2011,7.1,
Kyrgyzstan,KGZ,2012,6.4,
Kyrgyzstan,KGZ,2013,6.1,
Kyrgyzstan,KGZ,2014,5.9,
Kyrgyzstan,KGZ,2015,6.1,
Kyrgyzstan,KGZ,2016,5.9,
Kyrgyzstan,KGZ,2017,5.5,0.8
Kyrgyzstan,KGZ,2018,5.0,0.8
Kyrgyzstan,KGZ,2019,4.9,0.9
Kyrgyzstan,KGZ,2020,5.2,1.0
Kyrgyzstan,KGZ,2021,5.3,1.1
Kyrgyzstan,KGZ,2022,5.2,1.1
Kyrgyzstan,KGZ,2023,5.1,
