country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Latvia,LVA,2001,5.2,
Latvia,LVA,2002,3.7,
Latvia,LVA,2003,3.0,
Latvia,LVA,2004,2.5,
Latvia,LVA,2005,2.5,
Latvia,LVA,2006,2.5,
Latvia,LVA,2007,2.5,
Latvia,LVA,2008,2.5,
Latvia,LVA,2009,2.5,
Latvia,LVA,2010,2.5,
Latvia,LVA,2011,2.5,
Latvia,LVA,2012,2.5,
Latvia,LVA,2013,2.5,
Latvia,LVA,2014,2.5,
Latvia,LVA,2015,2.5,0.6
Latvia,LVA,2016,2.5,0.6
Latvia,LVA,2017,2.5,0.6
Latvia,LVA,2018,2.5,0.6
Latvia,LVA,2019,2.5,0.7
Latvia,LVA,2020,2.5,0.7
Latvia,LVA,2021,2.5,1.0
Latvia,LVA,2022,2.5,1.6
Latvia,LVA,2023,2.5,1.9
