country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Lebanon,LBN,2001,7.4,
Lebanon,LBN,2002,8.1,
Lebanon,LBN,2003,8.5,
Lebanon,LBN,2004,8.2,
Lebanon,LBN,2005,7.1,
Lebanon,LBN,2006,6.2,
Lebanon,LBN,2007,5.4,
Lebanon,LBN,2008,4.7,
Lebanon,LBN,2009,4.1,
Lebanon,LBN,2010,3.9,
Lebanon,LBN,2011,3.9,
Lebanon,LBN,2012,4.4,
Lebanon,LBN,2013,4.8,
Lebanon,LBN,2014,5.3,
Lebanon,LBN,2015,5.6,
Lebanon,LBN,2016,5.7,
Lebanon,LBN,2017,5.5,
Lebanon,LBN,2018,5.6,4.2
Lebanon,LBN,2019,7.1,6.8
Lebanon,LBN,2020,9.1,10.2
Lebanon,LBN,2021,10.4,12.6
Lebanon,LBN,2022,9.8,11.7
Lebanon,LBN,2023,8.7,10.1
