country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Liberia,LBR,2001,34.9,
Liberia,LBR,2002,36.2,
Liberia,LBR,2003,35.9,
Liberia,LBR,2004,36.0,
Liberia,LBR,2005,35.7,
Liberia,LBR,2006,35.4,
Liberia,LBR,2007,35.1,
Liberia,LBR,2008,34.9,
Liberia,LBR,2009,34.8,
Liberia,LBR,2010,35.2,
Liberia,LBR,2011,35.6,
Liberia,LBR,2012,36.5,
Liberia,LBR,2013,36.4,
Liberia,LBR,2014,36.6,
Liberia,LBR,2015,35.7,38.6
Liberia,LBR,2016,35.1,38.4
Liberia,LBR,2017,34.9,38.3
Liberia,LBR,2018,35.3,
Liberia,LBR,2019,36.6,37.3
Liberia,LBR,2020,37.5,37.3
Liberia,LBR,2021,37.7,37.5
Liberia,LBR,2022,37.0,37.3
Liberia,LBR,2023,35.5,37.1
