country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Lithuania,LTU,2001,2.5,
Lithuania,LTU,2002,2.5,
Lithuania,LTU,2003,2.5,
Lithuania,LTU,2004,2.5,
Lithuania,LTU,2005,2.5,
Lithuania,LTU,2006,2.5,
Lithuania,LTU,2007,2.5,
Lithuania,LTU,2008,2.5,
Lithuania,LTU,2009,2.5,
Lithuania,LTU,2010,2.5,
Lithuania,LTU,2011,2.5,
Lithuania,LTU,2012,2.5,
Lithuania,LTU,2013,2.5,
Lithuania,LTU,2014,2.5,
Lithuania,LTU,2015,2.5,2.5
Lithuania,LTU,2016,2.5,2.0
Lithuania,LTU,2017,2.5,1.6
Lithuania,LTU,2018,2.5,1.1
Lithuania,LTU,2019,2.5,1.7
Lithuania,LTU,2020,2.5,1.9
Lithuania,LTU,2021,2.5,2.1
Lithuania,LTU,2022,2.5,1.3
Lithuania,LTU,2023,2.5,1.2
