country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Luxembourg,LUX,2001,2.5,
Luxembourg,LUX,2002,2.5,
Luxembourg,LUX,2003,2.5,
Luxembourg,LUX,2004,2.5,
Luxembourg,LUX,2005,2.5,
Luxembourg,LUX,2006,2.5,
Luxembourg,LUX,2007,2.5,
Luxembourg,LUX,2008,2.5,
Luxembourg,LUX,2009,2.5,
Luxembourg,LUX,2010,2.5,
Luxembourg,LUX,2011,2.5,
Luxembourg,LUX,2012,2.5,
Luxembourg,LUX,2013,2.5,
Luxembourg,LUX,2014,2.5,
Luxembourg,LUX,2015,2.5,1.8
Luxembourg,LUX,2016,2.5,1.4
Luxembourg,LUX,2017,2.5,0.9
Luxembourg,LUX,2018,2.5,0.9
Luxembourg,LUX,2019,2.5,0.8
Luxembourg,LUX,2020,2.5,0.7
Luxembourg,LUX,2021,2.5,0.6
Luxembourg,LUX,2022,2.5,0.6
Luxembourg,LUX,2023,2.5,0.6
