country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Madagascar,MDG,2001,33.4,
Madagascar,MDG,2002,34.8,
Madagascar,MDG,2003,36.1,
Madagascar,MDG,2004,34.6,
Madagascar,MDG,2005,32.9,
Madagascar,MDG,2006,30.6,
Madagascar,MDG,2007,30.2,
Madagascar,MDG,2008,30.0,
Madagascar,MDG,2009,29.4,
Madagascar,MDG,2010,28.1,
Madagascar,MDG,2011,27.4,
Madagascar,MDG,2012,28.6,
Madagascar,MDG,2013,30.1,
Madagascar,MDG,2014,32.1,
Madagascar,MDG,2015,33.3,
Madagascar,MDG,2016,35.0,
Madagascar,MDG,2017,36.0,
Madagascar,MDG,2018,37.5,9.5
Madagascar,MDG,2019,38.9,9.9
Madagascar,MDG,2020,40.6,10.3
Madagascar,MDG,2021,39.9,12.2
Madagascar,MDG,2022,39.9,14.9
Madagascar,MDG,2023,39.5,17.8
