country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Malawi,MWI,2001,23.2,
Malawi,MWI,2002,23.4,
Malawi,MWI,2003,24.1,
Malawi,MWI,2004,23.2,
Malawi,MWI,2005,21.5,
Malawi,MWI,2006,19.3,
Malawi,MWI,2007,17.5,
Malawi,MWI,2008,15.9,
Malawi,MWI,2009,14.7,
Malawi,MWI,2010,14.1,
Malawi,MWI,2011,13.9,
Malawi,MWI,2012,14.2,
Malawi,MWI,2013,14.9,
Malawi,MWI,2014,15.5,
Malawi,MWI,2015,16.3,47.7
Malawi,MWI,2016,16.7,48.5
Malawi,MWI,2017,17.6,49.7
Malawi,MWI,2018,18.3,48.3
Malawi,MWI,2019,19.3,49.5
Malawi,MWI,2020,19.9,51.0
Malawi,MWI,2021,20.4,52.2
Malawi,MWI,2022,20.7,53.5
Malawi,MWI,2023,21.4,55.6
