country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Malaysia,MYS,2001,2.5,
Malaysia,MYS,2002,2.8,
Malaysia,MYS,2003,2.9,
Malaysia,MYS,2004,3.1,
Malaysia,MYS,2005,3.2,
Malaysia,MYS,2006,3.4,
Malaysia,MYS,2007,3.6,
Malaysia,MYS,2008,3.6,
Malaysia,MYS,2009,3.8,
Malaysia,MYS,2010,3.5,
Malaysia,MYS,2011,3.4,
Malaysia,MYS,2012,3.5,
Malaysia,MYS,2013,3.7,
Malaysia,MYS,2014,3.8,
Malaysia,MYS,2015,3.7,7.8
Malaysia,MYS,2016,3.3,6.7
Malaysia,MYS,2017,3.1,6.7
Malaysia,MYS,2018,2.9,6.7
Malaysia,MYS,2019,2.8,6.6
Malaysia,MYS,2020,2.7,6.3
Malaysia,MYS,2021,2.5,6.0
Malaysia,MYS,2022,2.5,5.8
Malaysia,MYS,2023,2.5,5.8
