country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Mali,MLI,2001,14.2,
Mali,MLI,2002,13.3,
Mali,MLI,2003,13.2,
Mali,MLI,2004,12.4,
Mali,MLI,2005,11.2,
Mali,MLI,2006,9.8,
Mali,MLI,2007,8.5,
Mali,MLI,2008,7.4,
Mali,MLI,2009,6.7,
Mali,MLI,2010,6.2,
Mali,MLI,2011,5.8,
Mali,MLI,2012,5.4,
Mali,MLI,2013,5.2,
Mali,MLI,2014,5.0,
Mali,MLI,2015,4.9,
Mali,MLI,2016,4.5,
Mali,MLI,2017,4.6,3.2
Mali,MLI,2018,4.6,3.1
Mali,MLI,2019,4.8,3.0
Mali,MLI,2020,4.7,2.8
Mali,MLI,2021,7.3,2.7
Mali,MLI,2022,9.9,2.7
Mali,MLI,2023,12.3,2.6
