country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Malta,MLT,2001,2.5,
Malta,MLT,2002,2.5,
Malta,MLT,2003,2.5,
Malta,MLT,2004,2.5,
Malta,MLT,2005,2.5,
Malta,MLT,2006,2.5,
Malta,MLT,2007,2.5,
Malta,MLT,2008,2.5,
Malta,MLT,2009,2.5,
Malta,MLT,2010,2.5,
Malta,MLT,2011,2.5,
Malta,MLT,2012,2.5,
Malta,MLT,2013,2.5,
Malta,MLT,2014,2.5,
Malta,MLT,2015,2.5,1.5
Malta,MLT,2016,2.5,1.4
Malta,MLT,2017,2.5,1.0
Malta,MLT,2018,2.5,0.8
Malta,MLT,2019,2.5,0.9
Malta,MLT,2020,2.5,1.4
Malta,MLT,2021,2.5,1.9
Malta,MLT,2022,2.5,2.0
Malta,MLT,2023,2.5,2.1
