country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Mauritania,MRT,2001,9.8,
Mauritania,MRT,2002,9.2,
Mauritania,MRT,2003,9.5,
Mauritania,MRT,2004,9.5,
Mauritania,MRT,2005,10.3,
Mauritania,MRT,2006,9.3,
Mauritania,MRT,2007,8.4,
Mauritania,MRT,2008,7.3,
Mauritania,MRT,2009,7.1,
Mauritania,MRT,2010,7.0,
Mauritania,MRT,2011,6.5,
Mauritania,MRT,2012,6.2,
Mauritania,MRT,2013,6.1,
Mauritania,MRT,2014,6.3,
Mauritania,MRT,2015,6.5,4.6
Mauritania,MRT,2016,6.7,5.0
Mauritania,MRT,2017,6.6,5.5
Mauritania,MRT,2018,6.5,5.9
Mauritania,MRT,2019,6.6,6.6
Mauritania,MRT,2020,7.0,7.2
Mauritania,MRT,2021,7.8,9.5
Mauritania,MRT,2022,8.6,11.6
Mauritania,MRT,2023,8.7,13.1
