country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Mauritius,MUS,2001,5.9,
Mauritius,MUS,2002,5.8,
Mauritius,MUS,2003,5.6,
Mauritius,MUS,2004,5.6,
Mauritius,MUS,2005,5.4,
Mauritius,MUS,2006,5.4,
Mauritius,MUS,2007,5.6,
Mauritius,MUS,2008,5.4,
Mauritius,MUS,2009,5.5,
Mauritius,MUS,2010,5.5,
Mauritius,MUS,2011,6.1,
Mauritius,MUS,2012,6.5,
Mauritius,MUS,2013,6.7,
Mauritius,MUS,2014,6.8,
Mauritius,MUS,2015,7.1,5.2
Mauritius,MUS,2016,7.2,5.9
Mauritius,MUS,2017,7.3,6.2
Mauritius,MUS,2018,7.1,6.8
Mauritius,MUS,2019,7.6,8.3
Mauritius,MUS,2020,7.5,9.1
Mauritius,MUS,2021,7.7,10.5
Mauritius,MUS,2022,7.9,10.2
Mauritius,MUS,2023,8.7,12.2
