country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Mexico,MEX,2001,2.8,
Mexico,MEX,2002,3.2,
Mexico,MEX,2003,3.8,
Mexico,MEX,2004,4.1,
Mexico,MEX,2005,4.0,
Mexico,MEX,2006,3.7,
Mexico,MEX,2007,3.7,
Mexico,MEX,2008,3.9,
Mexico,MEX,2009,4.1,
Mexico,MEX,2010,4.0,
Mexico,MEX,2011,3.9,
Mexico,MEX,2012,3.8,
Mexico,MEX,2013,3.7,
Mexico,MEX,2014,3.7,
Mexico,MEX,2015,3.7,3.4
Mexico,MEX,2016,3.7,3.3
Mexico,MEX,2017,3.7,3.5
Mexico,MEX,2018,3.6,3.8
Mexico,MEX,2019,3.4,3.8
Mexico,MEX,2020,3.1,3.5
Mexico,MEX,2021,3.0,3.2
Mexico,MEX,2022,2.8,3.0
Mexico,MEX,2023,2.7,2.9
