country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Moldova,MDA,2001,24.3,
Moldova,MDA,2002,26.9,
Moldova,MDA,2003,29.6,
Moldova,MDA,2004,31.7,
Moldova,MDA,2005,32.3,
Moldova,MDA,2006,30.6,
Moldova,MDA,2007,27.5,
Moldova,MDA,2008,22.9,
Moldova,MDA,2009,17.9,
Moldova,MDA,2010,12.9,
Moldova,MDA,2011,8.4,
Moldova,MDA,2012,5.7,
Moldova,MDA,2013,4.4,
Moldova,MDA,2014,3.8,
Moldova,MDA,2015,3.3,1.6
Moldova,MDA,2016,2.5,2.2
Moldova,MDA,2017,2.5,2.9
Moldova,MDA,2018,2.5,4.0
Moldova,MDA,2019,2.5,4.5
Moldova,MDA,2020,2.5,4.9
Moldova,MDA,2021,2.5,4.8
Moldova,MDA,2022,2.5,5.3
Moldova,MDA,2023,2.5,5.4
