country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Mongolia,MNG,2001,30.1,
Mongolia,MNG,2002,29.5,
Mongolia,MNG,2003,29.6,
Mongolia,MNG,2004,29.5,
Mongolia,MNG,2005,28.4,
Mongolia,MNG,2006,26.5,
Mongolia,MNG,2007,24.5,
Mongolia,MNG,2008,21.9,
Mongolia,MNG,2009,19.8,
Mongolia,MNG,2010,17.1,
Mongolia,MNG,2011,14.8,
Mongolia,MNG,2012,13.0,
Mongolia,MNG,2013,11.9,
Mongolia,MNG,2014,10.6,
Mongolia,MNG,2015,8.9,
Mongolia,MNG,2016,8.1,
Mongolia,MNG,2017,6.8,
Mongolia,MNG,2018,6.2,
Mongolia,MNG,2019,5.1,0.5
Mongolia,MNG,2020,4.3,0.5
Mongolia,MNG,2021,3.1,0.5
Mongolia,MNG,2022,2.5,0.6
Mongolia,MNG,2023,2.5,0.7
