country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Montenegro,MNE,2001,9.4,
Montenegro,MNE,2002,9.0,
Montenegro,MNE,2003,7.5,
Montenegro,MNE,2004,5.7,
Montenegro,MNE,2005,4.1,
Montenegro,MNE,2006,3.0,
Montenegro,MNE,2007,2.5,
Montenegro,MNE,2008,2.5,
Montenegro,MNE,2009,2.5,
Montenegro,MNE,2010,2.5,
Montenegro,MNE,2011,2.5,
Montenegro,MNE,2012,2.5,
Montenegro,MNE,2013,2.5,
Montenegro,MNE,2014,2.5,
Montenegro,MNE,2015,2.5,2.1
Montenegro,MNE,2016,2.5,2.2
Montenegro,MNE,2017,2.5,2.3
Montenegro,MNE,2018,2.5,2.2
Montenegro,MNE,2019,2.5,2.8
Montenegro,MNE,2020,2.5,3.4
Montenegro,MNE,2021,2.5,3.3
Montenegro,MNE,2022,2.5,2.5
Montenegro,MNE,2023,2.5,1.6
