country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Morocco,MAR,2001,5.8,
Morocco,MAR,2002,5.4,
Morocco,MAR,2003,5.1,
Morocco,MAR,2004,4.9,
Morocco,MAR,2005,4.8,
Morocco,MAR,2006,4.8,
Morocco,MAR,2007,4.8,
Morocco,MAR,2008,4.8,
Morocco,MAR,2009,4.8,
Morocco,MAR,2010,4.7,
Morocco,MAR,2011,4.5,
Morocco,MAR,2012,4.3,
Morocco,MAR,2013,4.1,
Morocco,MAR,2014,3.9,
Morocco,MAR,2015,3.7,
Morocco,MAR,2016,3.7,
Morocco,MAR,2017,3.5,
Morocco,MAR,2018,3.6,
Morocco,MAR,2019,4.1,
Morocco,MAR,2020,5.3,
Morocco,MAR,2021,6.5,
Morocco,MAR,2022,6.9,
Morocco,MAR,2023,7.0,
