country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Mozambique,MOZ,2001,36.4,
Mozambique,MOZ,2002,34.9,
Mozambique,MOZ,2003,32.8,
Mozambique,MOZ,2004,30.9,
Mozambique,MOZ,2005,29.2,
Mozambique,MOZ,2006,27.3,
Mozambique,MOZ,2007,25.4,
Mozambique,MOZ,2008,23.6,
Mozambique,MOZ,2009,21.7,
Mozambique,MOZ,2010,20.0,
Mozambique,MOZ,2011,19.9,
Mozambique,MOZ,2012,21.6,
Mozambique,MOZ,2013,26.4,
Mozambique,MOZ,2014,32.6,
Mozambique,MOZ,2015,39.9,
Mozambique,MOZ,2016,41.6,
Mozambique,MOZ,2017,38.3,
Mozambique,MOZ,2018,32.5,
Mozambique,MOZ,2019,28.3,
Mozambique,MOZ,2020,25.8,
Mozambique,MOZ,2021,22.8,
Mozambique,MOZ,2022,21.8,
Mozambique,MOZ,2023,21.8,
