country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Myanmar,MMR,2001,38.6,
Myanmar,MMR,2002,35.8,
Myanmar,MMR,2003,32.6,
Myanmar,MMR,2004,28.8,
Myanmar,MMR,2005,24.8,
Myanmar,MMR,2006,21.0,
Myanmar,MMR,2007,17.4,
Myanmar,MMR,2008,14.0,
Myanmar,MMR,2009,11.1,
Myanmar,MMR,2010,9.2,
Myanmar,MMR,2011,8.0,
Myanmar,MMR,2012,7.4,
Myanmar,MMR,2013,6.4,
Myanmar,MMR,2014,5.5,
Myanmar,MMR,2015,4.5,
Myanmar,MMR,2016,3.8,
Myanmar,MMR,2017,3.5,
Myanmar,MMR,2018,3.4,
Myanmar,MMR,2019,3.2,1.9
Myanmar,MMR,2020,3.7,3.7
Myanmar,MMR,2021,4.4,5.0
Myanmar,MMR,2022,5.2,6.9
Myanmar,MMR,2023,5.4,7.2
