country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Namibia,NAM,2001,15.7,
Namibia,NAM,2002,16.5,
Namibia,NAM,2003,17.7,
Namibia,NAM,2004,18.4,
Namibia,NAM,2005,19.9,
Namibia,NAM,2006,22.0,
Namibia,NAM,2007,24.1,
Namibia,NAM,2008,26.1,
Namibia,NAM,2009,28.2,
Namibia,NAM,2010,29.1,
Namibia,NAM,2011,27.6,
Namibia,NAM,2012,25.1,
Namibia,NAM,2013,23.3,
Namibia,NAM,2014,22.5,
Namibia,NAM,2015,21.7,28.9
Namibia,NAM,2016,20.6,29.6
Namibia,NAM,2017,20.0,30.5
Namibia,NAM,2018,19.2,31.3
Namibia,NAM,2019,18.9,32.1
Namibia,NAM,2020,18.5,32.6
Namibia,NAM,2021,18.7,33.0
Namibia,NAM,2022,18.4,31.8
Namibia,NAM,2023,18.1,30.0
