country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Nepal,NPL,2001,23.7,
Nepal,NPL,2002,22.0,
Nepal,NPL,2003,20.0,
Nepal,NPL,2004,17.8,
Nepal,NPL,2005,16.9,
Nepal,NPL,2006,16.0,
Nepal,NPL,2007,14.9,
Nepal,NPL,2008,13.1,
Nepal,NPL,2009,11.7,
Nepal,NPL,2010,10.8,
Nepal,NPL,2011,10.1,
Nepal,NPL,2012,9.4,
Nepal,NPL,2013,8.7,
Nepal,NPL,2014,8.2,
Nepal,NPL,2015,7.1,10.4
Nepal,NPL,2016,5.9,9.6
Nepal,NPL,2017,4.9,9.6
Nepal,NPL,2018,4.5,10.3
Nepal,NPL,2019,4.6,12.0
Nepal,NPL,2020,5.0,13.6
Nepal,NPL,2021,5.2,13.2
Nepal,NPL,2022,5.4,13.5
Nepal,NPL,2023,5.3,12.8
