country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Netherlands,NLD,2001,2.5,
Netherlands,NLD,2002,2.5,
Netherlands,NLD,2003,2.5,
Netherlands,NLD,2004,2.5,
Netherlands,NLD,2005,2.5,
Netherlands,NLD,2006,2.5,
Netherlands,NLD,2007,2.5,
Netherlands,NLD,2008,2.5,
Netherlands,NLD,2009,2.5,
Netherlands,NLD,2010,2.5,
Netherlands,NLD,2011,2.5,
Netherlands,NLD,2012,2.5,
Netherlands,NLD,2013,2.5,
Netherlands,NLD,2014,2.5,
Netherlands,NLD,2015,2.5,1.5
Netherlands,NLD,2016,2.5,1.7
Netherlands,NLD,2017,2.5,1.5
Netherlands,NLD,2018,2.5,1.7
Netherlands,NLD,2019,2.5,1.4
Netherlands,NLD,2020,2.5,1.4
Netherlands,NLD,2021,2.5,1.4
Netherlands,NLD,2022,2.5,1.9
Netherlands,NLD,2023,2.5,2.7
