country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Nicaragua,NIC,2001,25.8,
Nicaragua,NIC,2002,23.6,
Nicaragua,NIC,2003,23.4,
Nicaragua,NIC,2004,22.6,
Nicaragua,NIC,2005,21.9,
Nicaragua,NIC,2006,20.9,
Nicaragua,NIC,2007,20.4,
Nicaragua,NIC,2008,19.9,
Nicaragua,NIC,2009,19.3,
Nicaragua,NIC,2010,18.3,
Nicaragua,NIC,2011,17.2,
Nicaragua,NIC,2012,17.0,
Nicaragua,NIC,2013,17.3,
Nicaragua,NIC,2014,17.7,
Nicaragua,NIC,2015,17.2,
Nicaragua,NIC,2016,16.3,
Nicaragua,NIC,2017,15.6,
Nicaragua,NIC,2018,15.5,
Nicaragua,NIC,2019,15.7,
Nicaragua,NIC,2020,16.6,
Nicaragua,NIC,2021,17.0,
Nicaragua,NIC,2022,17.3,
