country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Niger,NER,2001,23.1,
Niger,NER,2002,22.2,
Niger,NER,2003,21.1,
Niger,NER,2004,19.1,
Niger,NER,2005,18.0,
Niger,NER,2006,17.0,
Niger,NER,2007,16.1,
Niger,NER,2008,15.2,
Niger,NER,2009,14.3,
Niger,NER,2010,14.6,
Niger,NER,2011,14.8,
Niger,NER,2012,15.0,
Niger,NER,2013,14.5,
Niger,NER,2014,13.7,
Niger,NER,2015,12.7,
Niger,NER,2016,12.0,
Niger,NER,2017,11.1,10.0
Niger,NER,2018,10.9,9.7
Niger,NER,2019,10.1,9.2
Niger,NER,2020,10.9,8.3
Niger,NER,2021,11.4,7.7
Niger,NER,2022,12.7,7.5
Niger,NER,2023,12.9,7.6
