country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Nigeria,NGA,2001,8.7,
Nigeria,NGA,2002,8.7,
Nigeria,NGA,2003,8.8,
Nigeria,NGA,2004,8.9,
Nigeria,NGA,2005,9.1,
Nigeria,NGA,2006,9.2,
Nigeria,NGA,2007,9.4,
Nigeria,NGA,2008,9.6,
Nigeria,NGA,2009,9.9,
Nigeria,NGA,2010,10.4,
Nigeria,NGA,2011,11.1,
Nigeria,NGA,2012,11.7,
Nigeria,NGA,2013,11.4,
Nigeria,NGA,2014,11.1,
Nigeria,NGA,2015,10.7,11.0
Nigeria,NGA,2016,10.8,12.3
Nigeria,NGA,2017,11.5,13.6
Nigeria,NGA,2018,12.1,15.1
Nigeria,NGA,2019,14.3,17.3
Nigeria,NGA,2020,15.8,19.8
Nigeria,NGA,2021,17.6,21.3
Nigeria,NGA,2022,18.7,22.6
Nigeria,NGA,2023,19.9,24.3
