country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
North Macedonia,MKD,2001,6.7,
North Macedonia,MKD,2002,6.8,
North Macedonia,MKD,2003,5.3,
North Macedonia,MKD,2004,5.0,
North Macedonia,MKD,2005,4.5,
North Macedonia,MKD,2006,4.1,
North Macedonia,MKD,2007,3.5,
North Macedonia,MKD,2008,3.0,
North Macedonia,MKD,2009,3.3,
North Macedonia,MKD,2010,3.5,
North Macedonia,MKD,2011,3.7,
North Macedonia,MKD,2012,3.8,
North Macedonia,MKD,2013,3.8,
North Macedonia,MKD,2014,3.6,
North Macedonia,MKD,2015,3.5,3.6
North Macedonia,MKD,2016,3.2,3.1
North Macedonia,MKD,2017,2.9,3.1
North Macedonia,MKD,2018,2.6,3.2
North Macedonia,MKD,2019,2.8,5.0
North Macedonia,MKD,2020,2.8,6.0
North Macedonia,MKD,2021,2.9,6.9
North Macedonia,MKD,2022,2.5,4.8
North Macedonia,MKD,2023,2.5,3.4
