country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Norway,NOR,2001,2.5,
Norway,NOR,2002,2.5,
Norway,NOR,2003,2.5,
Norway,NOR,2004,2.5,
Norway,NOR,2005,2.5,
Norway,NOR,2006,2.5,
Norway,NOR,2007,2.5,
Norway,NOR,2008,2.5,
Norway,NOR,2009,2.5,
Norway,NOR,2010,2.5,
Norway,NOR,2011,2.5,
Norway,NOR,2012,2.5,
Norway,NOR,2013,2.5,
Norway,NOR,2014,2.5,
Norway,NOR,2015,2.5,1.1
Norway,NOR,2016,2.5,1.2
Norway,NOR,2017,2.5,1.1
Norway,NOR,2018,2.5,1.1
Norway,NOR,2019,2.5,1.0
Norway,NOR,2020,2.5,1.0
Norway,NOR,2021,2.5,1.2
Norway,NOR,2022,2.5,1.4
Norway,NOR,2023,2.5,1.6
