country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Pakistan,PAK,2001,20.4,
Pakistan,PAK,2002,21.0,
Pakistan,PAK,2003,20.2,
Pakistan,PAK,2004,18.3,
Pakistan,PAK,2005,16.9,
Pakistan,PAK,2006,15.7,
Pakistan,PAK,2007,15.1,
Pakistan,PAK,2008,15.1,
Pakistan,PAK,2009,15.4,
Pakistan,PAK,2010,15.5,
Pakistan,PAK,2011,15.4,
Pakistan,PAK,2012,15.0,
Pakistan,PAK,2013,14.7,
Pakistan,PAK,2014,14.2,
Pakistan,PAK,2015,13.3,0.9
Pakistan,PAK,2016,11.5,0.8
Pakistan,PAK,2017,11.7,1.3
Pakistan,PAK,2018,10.9,1.6
Pakistan,PAK,2019,12.9,4.8
Pakistan,PAK,2020,13.4,8.7
Pakistan,PAK,2021,16.4,11.4
Pakistan,PAK,2022,16.7,11.4
Pakistan,PAK,2023,16.5,10.1
