country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Panama,PAN,2001,23.2,
Panama,PAN,2002,19.4,
Panama,PAN,2003,17.4,
Panama,PAN,2004,16.2,
Panama,PAN,2005,14.8,
Panama,PAN,2006,13.5,
Panama,PAN,2007,12.3,
Panama,PAN,2008,11.2,
Panama,PAN,2009,10.1,
Panama,PAN,2010,8.9,
Panama,PAN,2011,7.9,
Panama,PAN,2012,7.3,
Panama,PAN,2013,7.1,
Panama,PAN,2014,7.1,
Panama,PAN,2015,7.0,
Panama,PAN,2016,6.7,
Panama,PAN,2017,5.8,
Panama,PAN,2018,5.0,
Panama,PAN,2019,4.5,
Panama,PAN,2020,4.8,
Panama,PAN,2021,5.3,
Panama,PAN,2022,5.8,
Panama,PAN,2023,5.7,
