country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Paraguay,PRY,2001,10.3,
Paraguay,PRY,2002,9.1,
Paraguay,PRY,2003,8.6,
Paraguay,PRY,2004,7.9,
Paraguay,PRY,2005,7.4,
Paraguay,PRY,2006,6.0,
Paraguay,PRY,2007,4.6,
Paraguay,PRY,2008,3.6,
Paraguay,PRY,2009,2.9,
Paraguay,PRY,2010,2.5,
Paraguay,PRY,2011,2.5,
Paraguay,PRY,2012,2.5,
Paraguay,PRY,2013,2.5,
Paraguay,PRY,2014,2.5,
Paraguay,PRY,2015,2.5,1.2
Paraguay,PRY,2016,2.6,1.5
Paraguay,PRY,2017,2.6,2.6
Paraguay,PRY,2018,2.7,4.1
Paraguay,PRY,2019,3.1,5.2
Paraguay,PRY,2020,3.4,5.6
Paraguay,PRY,2021,3.9,6.1
Paraguay,PRY,2022,4.4,6.6
Paraguay,PRY,2023,5.2,
