country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Peru,PER,2001,20.4,
Peru,PER,2002,21.8,
Peru,PER,2003,22.1,
Peru,PER,2004,20.7,
Peru,PER,2005,17.9,
Peru,PER,2006,14.9,
Peru,PER,2007,13.0,
Peru,PER,2008,11.0,
Peru,PER,2009,9.4,
Peru,PER,2010,8.5,
Peru,PER,2011,7.6,
Peru,PER,2012,6.7,
Peru,PER,2013,5.6,
Peru,PER,2014,5.3,
Peru,PER,2015,5.7,9.9
Peru,PER,2016,6.2,11.8
Peru,PER,2017,6.5,12.0
Peru,PER,2018,6.0,12.7
Peru,PER,2019,6.2,13.6
Peru,PER,2020,6.3,14.3
Peru,PER,2021,6.5,14.9
Peru,PER,2022,6.6,14.8
Peru,PER,2023,6.9,14.5
