country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Philippines,PHL,2001,18.5,
Philippines,PHL,2002,18.3,
Philippines,PHL,2003,17.8,
Philippines,PHL,2004,17.6,
Philippines,PHL,2005,17.3,
Philippines,PHL,2006,17.0,
Philippines,PHL,2007,16.7,
Philippines,PHL,2008,16.4,
Philippines,PHL,2009,16.0,
Philippines,PHL,2010,15.7,
Philippines,PHL,2011,14.9,
Philippines,PHL,2012,14.3,
Philippines,PHL,2013,13.7,
Philippines,PHL,2014,12.9,
Philippines,PHL,2015,11.4,
Philippines,PHL,2016,9.7,
Philippines,PHL,2017,7.8,
Philippines,PHL,2018,6.4,3.2
Philippines,PHL,2019,5.8,4.0
Philippines,PHL,2020,5.2,3.5
Philippines,PHL,2021,4.6,3.2
Philippines,PHL,2022,3.5,2.5
Philippines,PHL,2023,3.0,3.0
