country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Poland,POL,2001,2.5,
Poland,POL,2002,2.5,
Poland,POL,2003,2.5,
Poland,POL,2004,2.5,
Poland,POL,2005,2.5,
Poland,POL,2006,2.5,
Poland,POL,2007,2.5,
Poland,POL,2008,2.5,
Poland,POL,2009,2.5,
Poland,POL,2010,2.5,
Poland,POL,2011,2.5,
Poland,POL,2012,2.5,
Poland,POL,2013,2.5,
Poland,POL,2014,2.5,
Poland,POL,2015,2.5,1.8
Poland,POL,2016,2.5,1.2
Poland,POL,2017,2.5,0.7
Poland,POL,2018,2.5,0.5
Poland,POL,2019,2.5,0.5
Poland,POL,2020,2.5,0.9
Poland,POL,2021,2.5,1.0
Poland,POL,2022,2.5,0.9
Poland,POL,2023,2.5,0.5
