country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Portugal,PRT,2001,2.5,
Portugal,PRT,2002,2.5,
Portugal,PRT,2003,2.5,
Portugal,PRT,2004,2.5,
Portugal,PRT,2005,2.5,
Portugal,PRT,2006,2.5,
Portugal,PRT,2007,2.5,
Portugal,PRT,2008,2.5,
Portugal,PRT,2009,2.5,
Portugal,PRT,2010,2.5,
Portugal,PRT,2011,2.5,
Portugal,PRT,2012,2.5,
Portugal,PRT,2013,2.5,
Portugal,PRT,2014,2.5,
Portugal,PRT,2015,2.5,4.1
Portugal,PRT,2016,2.5,3.5
Portugal,PRT,2017,2.5,3.2
Portugal,PRT,2018,2.5,2.9
Portugal,PRT,2019,2.5,3.2
Portugal,PRT,2020,2.5,3.2
Portugal,PRT,2021,2.5,3.9
Portugal,PRT,2022,2.5,3.3
Portugal,PRT,2023,2.5,3.1
