country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Romania,ROU,2001,2.5,
Romania,ROU,2002,2.5,
Romania,ROU,2003,2.5,
Romania,ROU,2004,2.5,
Romania,ROU,2005,2.5,
Romania,ROU,2006,2.5,
Romania,ROU,2007,2.5,
Romania,ROU,2008,2.5,
Romania,ROU,2009,2.5,
Romania,ROU,2010,2.5,
Romania,ROU,2011,2.5,
Romania,ROU,2012,2.5,
Romania,ROU,2013,2.5,
Romania,ROU,2014,2.5,
Romania,ROU,2015,2.5,5.6
Romania,ROU,2016,2.5,4.8
Romania,ROU,2017,2.5,4.0
Romania,ROU,2018,2.5,3.4
Romania,ROU,2019,2.5,3.4
Romania,ROU,2020,2.5,3.7
Romania,ROU,2021,2.5,5.7
Romania,ROU,2022,2.5,7.1
Romania,ROU,2023,2.5,7.0
