country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Russia,RUS,2001,4.2,
Russia,RUS,2002,3.3,
Russia,RUS,2003,2.7,
Russia,RUS,2004,2.5,
Russia,RUS,2005,2.5,
Russia,RUS,2006,2.5,
Russia,RUS,2007,2.5,
Russia,RUS,2008,2.5,
Russia,RUS,2009,2.5,
Russia,RUS,2010,2.5,
Russia,RUS,2011,2.5,
Russia,RUS,2012,2.5,
Russia,RUS,2013,2.5,
Russia,RUS,2014,2.5,
Russia,RUS,2015,2.5,0.7
Russia,RUS,2016,2.5,0.7
Russia,RUS,2017,2.5,0.6
Russia,RUS,2018,2.5,0.5
Russia,RUS,2019,2.5,0.5
Russia,RUS,2020,2.5,0.5
Russia,RUS,2021,2.5,0.5
Russia,RUS,2022,2.5,0.5
Russia,RUS,2023,2.5,0.5
