country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Rwanda,RWA,2001,37.6,
Rwanda,RWA,2002,34.3,
Rwanda,RWA,2003,33.6,
Rwanda,RWA,2004,36.0,
Rwanda,RWA,2005,36.7,
Rwanda,RWA,2006,36.6,
Rwanda,RWA,2007,36.5,
Rwanda,RWA,2008,36.5,
Rwanda,RWA,2009,36.0,
Rwanda,RWA,2010,35.7,
Rwanda,RWA,2011,35.3,
Rwanda,RWA,2012,35.5,
Rwanda,RWA,2013,35.7,
Rwanda,RWA,2014,37.1,
Rwanda,RWA,2015,35.8,
Rwanda,RWA,2016,33.7,
Rwanda,RWA,2017,31.9,
Rwanda,RWA,2018,32.7,
Rwanda,RWA,2019,35.6,
Rwanda,RWA,2020,34.7,
Rwanda,RWA,2021,31.0,
Rwanda,RWA,2022,26.6,
Rwanda,RWA,2023,24.4,
