country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Sao Tome and Principe,STP,2001,15.5,
Sao Tome and Principe,STP,2002,13.8,
Sao Tome and Principe,STP,2003,12.3,
Sao Tome and Principe,STP,2004,11.1,
Sao Tome and Principe,STP,2005,10.4,
Sao Tome and Principe,STP,2006,10.6,
Sao Tome and Principe,STP,2007,11.6,
Sao Tome and Principe,STP,2008,13.0,
Sao Tome and Principe,STP,2009,14.7,
Sao Tome and Principe,STP,2010,16.5,
Sao Tome and Principe,STP,2011,17.6,
Sao Tome and Principe,STP,2012,17.4,
Sao Tome and Principe,STP,2013,17.4,
Sao Tome and Principe,STP,2014,18.1,
Sao Tome and Principe,STP,2015,18.5,
Sao Tome and Principe,STP,2016,18.3,
Sao Tome and Principe,STP,2017,17.9,
Sao Tome and Principe,STP,2018,17.8,
Sao Tome and Principe,STP,2019,16.9,
Sao Tome and Principe,STP,2020,15.9,14.1
Sao Tome and Principe,STP,2021,16.0,14.1
Sao Tome and Principe,STP,2022,16.7,14.1
Sao Tome and Principe,STP,2023,17.4,
