country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Senegal,SEN,2001,21.1,
Senegal,SEN,2002,20.0,
Senegal,SEN,2003,18.6,
Senegal,SEN,2004,17.1,
Senegal,SEN,2005,15.8,
Senegal,SEN,2006,14.6,
Senegal,SEN,2007,12.2,
Senegal,SEN,2008,10.9,
Senegal,SEN,2009,10.3,
Senegal,SEN,2010,10.9,
Senegal,SEN,2011,11.1,
Senegal,SEN,2012,11.3,
Senegal,SEN,2013,11.2,
Senegal,SEN,2014,11.1,
Senegal,SEN,2015,10.0,7.5
Senegal,SEN,2016,8.9,7.2
Senegal,SEN,2017,8.0,7.0
Senegal,SEN,2018,7.1,6.8
Senegal,SEN,2019,6.2,6.0
Senegal,SEN,2020,5.3,5.1
Senegal,SEN,2021,5.2,4.5
Senegal,SEN,2022,5.1,4.0
Senegal,SEN,2023,5.1,4.0
