country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Serbia,SRB,2001,4.8,
Serbia,SRB,2002,4.6,
Serbia,SRB,2003,3.9,
Serbia,SRB,2004,3.1,
Serbia,SRB,2005,2.6,
Serbia,SRB,2006,2.5,
Serbia,SRB,2007,2.5,
Serbia,SRB,2008,2.5,
Serbia,SRB,2009,2.5,
Serbia,SRB,2010,2.5,
Serbia,SRB,2011,2.5,
Serbia,SRB,2012,2.5,
Serbia,SRB,2013,2.5,
Serbia,SRB,2014,2.5,
Serbia,SRB,2015,2.5,1.7
Serbia,SRB,2016,2.5,2.3
Serbia,SRB,2017,2.5,1.9
Serbia,SRB,2018,2.5,2.0
Serbia,SRB,2019,2.5,2.6
Serbia,SRB,2020,2.5,3.8
Serbia,SRB,2021,2.5,4.1
Serbia,SRB,2022,2.5,3.0
Serbia,SRB,2023,2.5,1.5
