country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Seychelles,SYC,2001,2.5,
Seychelles,SYC,2002,2.5,
Seychelles,SYC,2003,2.5,
Seychelles,SYC,2004,2.5,
Seychelles,SYC,2005,2.8,
Seychelles,SYC,2006,3.1,
Seychelles,SYC,2007,3.5,
Seychelles,SYC,2008,3.9,
Seychelles,SYC,2009,4.3,
Seychelles,SYC,2010,4.9,
Seychelles,SYC,2011,5.2,
Seychelles,SYC,2012,5.5,
Seychelles,SYC,2013,5.2,
Seychelles,SYC,2014,4.9,
Seychelles,SYC,2015,4.3,3.2
Seychelles,SYC,2016,3.7,3.2
Seychelles,SYC,2017,3.3,3.2
Seychelles,SYC,2018,3.0,
Seychelles,SYC,2019,2.7,
Seychelles,SYC,2020,2.5,
Seychelles,SYC,2021,2.5,
Seychelles,SYC,2022,2.5,
Seychelles,SYC,2023,2.5,
