country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Sierra Leone,SLE,2001,50.0,
Sierra Leone,SLE,2002,49.2,
Sierra Leone,SLE,2003,47.0,
Sierra Leone,SLE,2004,44.4,
Sierra Leone,SLE,2005,40.2,
Sierra Leone,SLE,2006,36.0,
Sierra Leone,SLE,2007,31.9,
Sierra Leone,SLE,2008,28.1,
Sierra Leone,SLE,2009,24.8,
Sierra Leone,SLE,2010,22.5,
Sierra Leone,SLE,2011,21.6,
Sierra Leone,SLE,2012,21.9,
Sierra Leone,SLE,2013,23.2,
Sierra Leone,SLE,2014,23.2,
Sierra Leone,SLE,2015,24.1,26.7
Sierra Leone,SLE,2016,24.5,31.9
Sierra Leone,SLE,2017,26.0,32.6
Sierra Leone,SLE,2018,27.0,32.4
Sierra Leone,SLE,2019,27.8,32.2
Sierra Leone,SLE,2020,27.5,31.5
Sierra Leone,SLE,2021,26.3,31.9
Sierra Leone,SLE,2022,25.2,32.3
Sierra Leone,SLE,2023,24.1,33.7
