country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Slovakia,SVK,2001,6.2,
Slovakia,SVK,2002,6.2,
Slovakia,SVK,2003,6.1,
Slovakia,SVK,2004,5.9,
Slovakia,SVK,2005,5.6,
Slovakia,SVK,2006,5.7,
Slovakia,SVK,2007,5.6,
Slovakia,SVK,2008,5.1,
Slovakia,SVK,2009,4.9,
Slovakia,SVK,2010,5.2,
Slovakia,SVK,2011,6.1,
Slovakia,SVK,2012,5.8,
Slovakia,SVK,2013,5.6,
Slovakia,SVK,2014,5.7,
Slovakia,SVK,2015,5.7,1.1
Slovakia,SVK,2016,5.3,0.9
Slovakia,SVK,2017,4.1,0.9
Slovakia,SVK,2018,3.3,0.8
Slovakia,SVK,2019,2.8,1.1
Slovakia,SVK,2020,2.7,1.6
Slovakia,SVK,2021,3.0,1.8
Slovakia,SVK,2022,3.2,2.0
Slovakia,SVK,2023,3.1,1.4
