country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Slovenia,SVN,2001,2.5,
Slovenia,SVN,2002,2.5,
Slovenia,SVN,2003,2.5,
Slovenia,SVN,2004,2.5,
Slovenia,SVN,2005,2.5,
Slovenia,SVN,2006,2.5,
Slovenia,SVN,2007,2.5,
Slovenia,SVN,2008,2.5,
Slovenia,SVN,2009,2.5,
Slovenia,SVN,2010,2.5,
Slovenia,SVN,2011,2.5,
Slovenia,SVN,2012,2.5,
Slovenia,SVN,2013,2.5,
Slovenia,SVN,2014,2.5,
Slovenia,SVN,2015,2.5,0.9
Slovenia,SVN,2016,2.5,0.8
Slovenia,SVN,2017,2.5,0.6
Slovenia,SVN,2018,2.5,0.5
Slovenia,SVN,2019,2.5,0.5
Slovenia,SVN,2020,2.5,0.6
Slovenia,SVN,2021,2.5,0.9
Slovenia,SVN,2022,2.5,0.9
Slovenia,SVN,2023,2.5,0.9
