country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
South Africa,ZAF,2001,3.6,
South Africa,ZAF,2002,3.5,
South Africa,ZAF,2003,3.4,
South Africa,ZAF,2004,3.3,
South Africa,ZAF,2005,3.3,
South Africa,ZAF,2006,3.4,
South Africa,ZAF,2007,3.5,
South Africa,ZAF,2008,3.5,
South Africa,ZAF,2009,4.0,
South Africa,ZAF,2010,4.5,
South Africa,ZAF,2011,5.0,
South Africa,ZAF,2012,5.2,
South Africa,ZAF,2013,5.6,
South Africa,ZAF,2014,6.4,
South Africa,ZAF,2015,6.6,
South Africa,ZAF,2016,6.4,
South Africa,ZAF,2017,6.1,
South Africa,ZAF,2018,6.4,6.9
South Africa,ZAF,2019,7.2,7.5
South Africa,ZAF,2020,8.6,8.0
South Africa,ZAF,2021,9.4,8.4
South Africa,ZAF,2022,10.0,8.4
South Africa,ZAF,2023,10.0,8.5
