country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
South Korea,KOR,2001,2.5,
South Korea,KOR,2002,2.6,
South Korea,KOR,2003,2.7,
South Korea,KOR,2004,2.5,
South Korea,KOR,2005,2.5,
South Korea,KOR,2006,2.5,
South Korea,KOR,2007,2.5,
South Korea,KOR,2008,2.5,
South Korea,KOR,2009,2.5,
South Korea,KOR,2010,2.5,
South Korea,KOR,2011,2.5,
South Korea,KOR,2012,2.5,
South Korea,KOR,2013,2.5,
South Korea,KOR,2014,2.5,
South Korea,KOR,2015,2.5,0.5
South Korea,KOR,2016,2.5,0.5
South Korea,KOR,2017,2.5,0.5
South Korea,KOR,2018,2.5,0.5
South Korea,KOR,2019,2.5,0.6
South Korea,KOR,2020,2.5,0.7
South Korea,KOR,2021,2.5,0.8
South Korea,KOR,2022,2.5,0.9
South Korea,KOR,2023,2.5,1.1
