country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Spain,ESP,2001,2.5,
Spain,ESP,2002,2.5,
Spain,ESP,2003,2.5,
Spain,ESP,2004,2.5,
Spain,ESP,2005,2.5,
Spain,ESP,2006,2.5,
Spain,ESP,2007,2.5,
Spain,ESP,2008,2.5,
Spain,ESP,2009,2.5,
Spain,ESP,2010,2.5,
Spain,ESP,2011,2.5,
Spain,ESP,2012,2.5,
Spain,ESP,2013,2.5,
Spain,ESP,2014,2.5,
Spain,ESP,2015,2.5,1.1
Spain,ESP,2016,2.5,1.3
Spain,ESP,2017,2.5,1.4
Spain,ESP,2018,2.5,1.7
Spain,ESP,2019,2.5,1.8
Spain,ESP,2020,2.5,2.0
Spain,ESP,2021,2.5,1.8
Spain,ESP,2022,2.5,1.5
Spain,ESP,2023,2.5,1.4
