country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Sri Lanka,LKA,2001,16.8,
Sri Lanka,LKA,2002,16.1,
Sri Lanka,LKA,2003,15.9,
Sri Lanka,LKA,2004,15.2,
Sri Lanka,LKA,2005,14.2,
Sri Lanka,LKA,2006,13.5,
Sri Lanka,LKA,2007,12.1,
Sri Lanka,LKA,2008,11.1,
Sri Lanka,LKA,2009,10.6,
Sri Lanka,LKA,2010,11.0,
Sri Lanka,LKA,2011,10.8,
Sri Lanka,LKA,2012,10.0,
Sri Lanka,LKA,2013,8.8,
Sri Lanka,LKA,2014,6.1,
Sri Lanka,LKA,2015,4.5,0.7
Sri Lanka,LKA,2016,4.1,0.6
Sri Lanka,LKA,2017,5.0,0.6
Sri Lanka,LKA,2018,5.3,0.7
Sri Lanka,LKA,2019,3.8,0.9
Sri Lanka,LKA,2020,3.3,1.1
Sri Lanka,LKA,2021,4.6,1.2
Sri Lanka,LKA,2022,6.1,1.2
Sri Lanka,LKA,2023,7.4,1.1
