country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Suriname,SUR,2001,11.5,
Suriname,SUR,2002,10.9,
Suriname,SUR,2003,10.1,
Suriname,SUR,2004,9.4,
Suriname,SUR,2005,8.8,
Suriname,SUR,2006,8.0,
Suriname,SUR,2007,7.9,
Suriname,SUR,2008,7.3,
Suriname,SUR,2009,7.4,
Suriname,SUR,2010,7.6,
Suriname,SUR,2011,8.2,
Suriname,SUR,2012,8.2,
Suriname,SUR,2013,7.8,
Suriname,SUR,2014,8.0,
Suriname,SUR,2015,8.6,
Suriname,SUR,2016,9.3,
Suriname,SUR,2017,9.3,
Suriname,SUR,2018,9.0,
Suriname,SUR,2019,8.7,
Suriname,SUR,2020,9.0,7.2
Suriname,SUR,2021,9.3,7.2
Suriname,SUR,2022,9.9,7.2
Suriname,SUR,2023,9.7,
