country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Sweden,SWE,2001,2.5,
Sweden,SWE,2002,2.5,
Sweden,SWE,2003,2.5,
Sweden,SWE,2004,2.5,
Sweden,SWE,2005,2.5,
Sweden,SWE,2006,2.5,
Sweden,SWE,2007,2.5,
Sweden,SWE,2008,2.5,
Sweden,SWE,2009,2.5,
Sweden,SWE,2010,2.5,
Sweden,SWE,2011,2.5,
Sweden,SWE,2012,2.5,
Sweden,SWE,2013,2.5,
Sweden,SWE,2014,2.5,
Sweden,SWE,2015,2.5,0.8
Sweden,SWE,2016,2.5,1.0
Sweden,SWE,2017,2.5,1.0
Sweden,SWE,2018,2.5,1.2
Sweden,SWE,2019,2.5,1.2
Sweden,SWE,2020,2.5,1.3
Sweden,SWE,2021,2.5,1.4
Sweden,SWE,2022,2.5,1.8
Sweden,SWE,2023,2.5,2.5
