country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Switzerland,CHE,2001,2.5,
Switzerland,CHE,2002,2.5,
Switzerland,CHE,2003,2.5,
Switzerland,CHE,2004,2.5,
Switzerland,CHE,2005,2.5,
Switzerland,CHE,2006,2.5,
Switzerland,CHE,2007,2.5,
Switzerland,CHE,2008,2.5,
Switzerland,CHE,2009,2.5,
Switzerland,CHE,2010,2.5,
Switzerland,CHE,2011,2.5,
Switzerland,CHE,2012,2.5,
Switzerland,CHE,2013,2.5,
Switzerland,CHE,2014,2.5,
Switzerland,CHE,2015,2.5,1.5
Switzerland,CHE,2016,2.5,1.3
Switzerland,CHE,2017,2.5,0.8
Switzerland,CHE,2018,2.5,0.7
Switzerland,CHE,2019,2.5,0.5
Switzerland,CHE,2020,2.5,0.5
Switzerland,CHE,2021,2.5,0.6
Switzerland,CHE,2022,2.5,1.1
Switzerland,CHE,2023,2.5,1.1
