country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Syria,SYR,2001,7.5,
Syria,SYR,2002,7.1,
Syria,SYR,2003,6.8,
Syria,SYR,2004,6.5,
Syria,SYR,2005,6.2,
Syria,SYR,2006,6.0,
Syria,SYR,2007,5.9,
Syria,SYR,2008,5.6,
Syria,SYR,2009,5.4,
Syria,SYR,2010,5.5,
Syria,SYR,2011,6.3,
Syria,SYR,2012,7.5,
Syria,SYR,2013,8.7,
Syria,SYR,2014,9.7,
Syria,SYR,2015,11.5,
Syria,SYR,2016,14.2,
Syria,SYR,2017,18.5,
Syria,SYR,2018,22.8,
Syria,SYR,2019,27.4,
Syria,SYR,2020,30.6,
Syria,SYR,2021,33.2,
Syria,SYR,2022,35.9,
Syria,SYR,2023,39.0,
