country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Taiwan,TWN,2001,3.7,
Taiwan,TWN,2002,4.1,
Taiwan,TWN,2003,4.2,
Taiwan,TWN,2004,4.3,
Taiwan,TWN,2005,4.5,
Taiwan,TWN,2006,4.6,
Taiwan,TWN,2007,4.8,
Taiwan,TWN,2008,4.8,
Taiwan,TWN,2009,4.8,
Taiwan,TWN,2010,4.7,
Taiwan,TWN,2011,4.8,
Taiwan,TWN,2012,4.8,
Taiwan,TWN,2013,4.6,
Taiwan,TWN,2014,4.3,
Taiwan,TWN,2015,4.3,
Taiwan,TWN,2016,4.3,
Taiwan,TWN,2017,4.2,
Taiwan,TWN,2018,4.0,
Taiwan,TWN,2019,3.9,
Taiwan,TWN,2020,4.0,
Taiwan,TWN,2021,4.0,
Taiwan,TWN,2022,3.9,
Taiwan,TWN,2023,3.8,
