country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Tajikistan,TJK,2001,40.0,
Tajikistan,TJK,2002,41.3,
Tajikistan,TJK,2003,41.7,
Tajikistan,TJK,2004,40.3,
Tajikistan,TJK,2005,38.1,
Tajikistan,TJK,2006,35.1,
Tajikistan,TJK,2007,32.2,
Tajikistan,TJK,2008,29.3,
Tajikistan,TJK,2009,26.6,
Tajikistan,TJK,2010,24.2,
Tajikistan,TJK,2011,22.5,
Tajikistan,TJK,2012,21.4,
Tajikistan,TJK,2013,20.3,
Tajikistan,TJK,2014,18.5,
Tajikistan,TJK,2015,16.1,4.9
Tajikistan,TJK,2016,13.9,7.1
Tajikistan,TJK,2017,12.2,8.6
Tajikistan,TJK,2018,10.3,7.1
Tajikistan,TJK,2019,9.7,7.1
Tajikistan,TJK,2020,9.1,7.6
Tajikistan,TJK,2021,9.2,8.3
Tajikistan,TJK,2022,8.6,6.7
Tajikistan,TJK,2023,8.4,5.6
