country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Tanzania,TZA,2001,32.8,
Tanzania,TZA,2002,33.6,
Tanzania,TZA,2003,32.1,
Tanzania,TZA,2004,31.5,
Tanzania,TZA,2005,28.5,
Tanzania,TZA,2006,27.0,
Tanzania,TZA,2007,25.9,
Tanzania,TZA,2008,25.1,
Tanzania,TZA,2009,24.6,
Tanzania,TZA,2010,23.7,
Tanzania,TZA,2011,22.7,
Tanzania,TZA,2012,21.7,
Tanzania,TZA,2013,21.2,
Tanzania,TZA,2014,21.1,
Tanzania,TZA,2015,21.3,20.6
Tanzania,TZA,2016,21.9,24.8
Tanzania,TZA,2017,22.6,25.6
Tanzania,TZA,2018,22.9,24.9
Tanzania,TZA,2019,23.0,24.4
Tanzania,TZA,2020,22.8,25.8
Tanzania,TZA,2021,22.4,26.3
Tanzania,TZA,2022,21.4,25.4
Tanzania,TZA,2023,20.2,24.4
