country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Thailand,THA,2001,17.3,
Thailand,THA,2002,16.3,
Thailand,THA,2003,14.9,
Thailand,THA,2004,13.6,
Thailand,THA,2005,11.8,
Thailand,THA,2006,10.6,
Thailand,THA,2007,10.1,
Thailand,THA,2008,10.6,
Thailand,THA,2009,10.4,
Thailand,THA,2010,10.2,
Thailand,THA,2011,9.4,
Thailand,THA,2012,9.3,
Thailand,THA,2013,8.7,
Thailand,THA,2014,8.2,
Thailand,THA,2015,7.8,
Thailand,THA,2016,7.9,
Thailand,THA,2017,8.1,
Thailand,THA,2018,7.6,0.7
Thailand,THA,2019,6.8,0.8
Thailand,THA,2020,6.0,1.1
Thailand,THA,2021,5.4,1.3
Thailand,THA,2022,5.1,1.1
Thailand,THA,2023,4.6,0.8
