country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Togo,TGO,2001,28.8,
Togo,TGO,2002,28.8,
Togo,TGO,2003,27.7,
Togo,TGO,2004,26.2,
Togo,TGO,2005,24.8,
Togo,TGO,2006,23.6,
Togo,TGO,2007,22.2,
Togo,TGO,2008,20.7,
Togo,TGO,2009,19.9,
Togo,TGO,2010,19.6,
Togo,TGO,2011,20.1,
Togo,TGO,2012,19.9,
Togo,TGO,2013,19.6,
Togo,TGO,2014,20.0,
Togo,TGO,2015,20.1,16.1
Togo,TGO,2016,20.6,16.3
Togo,TGO,2017,20.4,15.8
Togo,TGO,2018,19.7,15.4
Togo,TGO,2019,18.2,14.0
Togo,TGO,2020,15.9,13.5
Togo,TGO,2021,13.7,12.8
Togo,TGO,2022,11.1,10.9
Togo,TGO,2023,9.1,9.9
