country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Trinidad and Tobago,TTO,2001,10.3,
Trinidad and Tobago,TTO,2002,10.9,
Trinidad and Tobago,TTO,2003,11.6,
Trinidad and Tobago,TTO,2004,11.7,
Trinidad and Tobago,TTO,2005,11.1,
Trinidad and Tobago,TTO,2006,10.5,
Trinidad and Tobago,TTO,2007,9.9,
Trinidad and Tobago,TTO,2008,9.3,
Trinidad and Tobago,TTO,2009,8.8,
Trinidad and Tobago,TTO,2010,8.0,
Trinidad and Tobago,TTO,2011,7.4,
Trinidad and Tobago,TTO,2012,6.8,
Trinidad and Tobago,TTO,2013,6.7,
Trinidad and Tobago,TTO,2014,6.7,
Trinidad and Tobago,TTO,2015,7.0,
Trinidad and Tobago,TTO,2016,7.0,
Trinidad and Tobago,TTO,2017,7.1,
Trinidad and Tobago,TTO,2018,7.2,
Trinidad and Tobago,TTO,2019,8.6,
Trinidad and Tobago,TTO,2020,10.2,
Trinidad and Tobago,TTO,2021,11.7,
Trinidad and Tobago,TTO,2022,11.9,6.9
Trinidad and Tobago,TTO,2023,11.2,6.9
