country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Tunisia,TUN,2001,4.0,
Tunisia,TUN,2002,4.1,
Tunisia,TUN,2003,4.2,
Tunisia,TUN,2004,4.1,
Tunisia,TUN,2005,4.0,
Tunisia,TUN,2006,4.0,
Tunisia,TUN,2007,3.8,
Tunisia,TUN,2008,3.6,
Tunisia,TUN,2009,3.4,
Tunisia,TUN,2010,3.4,
Tunisia,TUN,2011,3.4,
Tunisia,TUN,2012,3.2,
Tunisia,TUN,2013,3.1,
Tunisia,TUN,2014,2.9,
Tunisia,TUN,2015,2.8,9.1
Tunisia,TUN,2016,2.8,9.3
Tunisia,TUN,2017,2.6,9.1
Tunisia,TUN,2018,2.5,9.7
Tunisia,TUN,2019,2.5,10.7
Tunisia,TUN,2020,2.8,12.6
Tunisia,TUN,2021,3.1,12.6
Tunisia,TUN,2022,3.2,11.3
Tunisia,TUN,2023,3.0,9.6
