country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Turkey,TUR,2001,12.9,
Turkey,TUR,2002,13.9,
Turkey,TUR,2003,13.7,
Turkey,TUR,2004,12.3,
Turkey,TUR,2005,9.4,
Turkey,TUR,2006,6.5,
Turkey,TUR,2007,4.4,
Turkey,TUR,2008,3.2,
Turkey,TUR,2009,2.5,
Turkey,TUR,2010,2.5,
Turkey,TUR,2011,2.5,
Turkey,TUR,2012,2.5,
Turkey,TUR,2013,2.5,
Turkey,TUR,2014,2.5,
Turkey,TUR,2015,2.5,
Turkey,TUR,2016,2.5,
Turkey,TUR,2017,2.5,
Turkey,TUR,2018,2.5,
Turkey,TUR,2019,2.5,
Turkey,TUR,2020,2.5,
Turkey,TUR,2021,2.5,
Turkey,TUR,2022,2.5,
Turkey,TUR,2023,2.5,
